ts_unix,t_ns,seq,version,slave,torque_mNm_raw,torque_Nm_raw,torque_Nm_smooth,ratio_pct
1768033628.6120076,7969659668770,67665,1,1,14124,14.124,13.47909681999257,16.2
1768033628.6220083,7969669668413,67666,1,1,13499,13.499,13.480067475741272,15.5
1768033628.6320112,7969679668945,67667,1,1,13499,13.499,13.480990873749365,15.5
1768033628.6420076,7969689668754,67668,1,1,14124,14.124,13.481869172840915,16.2
1768033628.6520472,7969699668990,67669,1,1,13499,13.499,13.48270467236874,15.5
1768033628.6620662,7969709669355,67670,1,1,13499,13.499,13.483499433163827,15.5
1768033628.672017,7969719668905,67671,1,1,12874,12.874,13.484255371553616,14.7
1768033628.682062,7969729671456,67672,1,1,13499,13.499,13.484974654462892,15.5
1768033628.692057,7969739669006,67673,1,1,14124,14.124,13.485658515204126,16.2
1768033628.702079,7969749671983,67674,1,1,13499,13.499,13.48630937599698,15.5
1768033628.7121215,7969759669403,67675,1,1,13499,13.499,13.486928149307182,15.5
1768033628.7221007,7969769669176,67676,1,1,13499,13.499,13.487516887379487,15.5
1768033628.732092,7969779669060,67677,1,1,13499,13.499,13.488076919055127,15.5
1768033628.7421017,7969789672832,67678,1,1,13499,13.499,13.488609839959299,15.5
1768033628.752092,7969799668475,67679,1,1,13499,13.499,13.489116358731234,15.5
1768033628.7620819,7969809667655,67680,1,1,14124,14.124,13.489598351057259,16.2
1768033628.7720578,7969819668131,67681,1,1,13499,13.499,13.49005689617145,15.5
1768033628.7820363,7969829667997,67682,1,1,13499,13.499,13.490493050792265,15.5
1768033628.7920175,7969839668306,67683,1,1,13499,13.499,13.490907952103093,15.5
1768033628.8020675,7969849669282,67684,1,1,14124,14.124,13.491302643499184,16.2
1768033628.8120394,7969859668777,67685,1,1,12874,12.874,13.4916780295176,14.7
1768033628.8220174,7969869668994,67686,1,1,13499,13.499,13.492035133788699,15.5
1768033628.8320086,7969879668619,67687,1,1,13499,13.499,13.492374801899865,15.5
1768033628.8420188,7969889668836,67688,1,1,13499,13.499,13.492697923461762,15.5
1768033628.8520293,7969899669386,67689,1,1,14124,14.124,13.493005295846832,16.2
1768033628.862078,7969909669455,67690,1,1,14124,14.124,13.493297662985636,16.2
1768033628.872355,7969919670728,67691,1,1,13499,13.499,13.493575803768637,15.5
1768033628.882129,7969929669722,67692,1,1,13499,13.499,13.493840318987331,15.5
1768033628.8921359,7969939669236,67693,1,1,14124,14.124,13.524572112678769,16.2
1768033628.9021187,7969949669138,67694,1,1,13499,13.499,13.523324957945919,15.5
1768033628.9121337,7969959669096,67695,1,1,13499,13.499,13.52213862060701,15.5
1768033628.922132,7969969668572,67696,1,1,13499,13.499,13.52101019443038,15.5
1768033628.932102,7969979668048,67697,1,1,12874,12.874,13.519936799435502,14.7
1768033628.9420433,7969989668154,67698,1,1,13499,13.499,13.518915689122602,15.5
1768033628.9520297,7969999668408,67699,1,1,13499,13.499,13.517944365443268,15.5
1768033628.9621992,7970009669737,67700,1,1,13499,13.499,13.51702031809272,15.5
1768033628.972097,7970019670176,67701,1,1,14124,14.124,13.516141419183201,16.2
1768033628.9820373,7970029669078,67702,1,1,13499,13.499,13.515305511821776,15.5
1768033628.9920487,7970039670036,67703,1,1,12874,12.874,13.514510208332341,14.7
1768033629.002053,7970049669364,67704,1,1,12874,12.874,13.513753816118598,14.7
1768033629.0120687,7970059670007,67705,1,1,14124,14.124,13.513034218895598,16.2
1768033629.022034,7970069669520,67706,1,1,13499,13.499,13.512349794470087,15.5
1768033629.0320284,7970079669441,67707,1,1,13499,13.499,13.511698722326978,15.5
1768033629.042026,7970089669991,67708,1,1,12874,12.874,13.511079365112685,14.7
1768033629.0520315,7970099670468,67709,1,1,12874,12.874,13.510490220120266,14.7
1768033629.0620418,7970109670740,67710,1,1,12874,12.874,13.479447402376307,14.7
1768033629.072046,7970119670883,67711,1,1,13499,13.499,13.449918972345655,15.5
1768033629.0820317,7970129671045,67712,1,1,12874,12.874,13.42183062888041,14.7
1768033629.0920377,7970139671632,67713,1,1,13499,13.499,13.3951110843705,15.5
1768033629.1020396,7970149671423,67714,1,1,14124,14.124,13.400177703304502,16.2
1768033629.1120512,7970159671511,67715,1,1,13499,13.499,13.404997364947672,15.5
1768033629.1220303,7970169671542,67716,1,1,12874,12.874,13.409581941417423,14.7
1768033629.132028,7970179671759,67717,1,1,14124,14.124,13.413943003881416,16.2
1768033629.142029,7970189671847,67718,1,1,13499,13.499,13.418091318132188,15.5
1768033629.152031,7970199672342,67719,1,1,13499,13.499,13.422037471592263,15.5
1768033629.1620317,7970209672207,67720,1,1,13499,13.499,13.425790928978483,15.5
1768033629.172062,7970219673257,67721,1,1,14124,14.124,13.429361743105778,16.2
1768033629.1820433,7970229672641,67722,1,1,13499,13.499,13.432757836945727,15.5
1768033629.1920307,7970239672339,67723,1,1,13499,13.499,13.435988410212774,15.5
1768033629.2020352,7970249672908,67724,1,1,14124,14.124,13.43906169223455,16.2
1768033629.212032,7970259673088,67725,1,1,13499,13.499,13.441984969312275,15.5
1768033629.2220407,7970269673213,67726,1,1,13499,13.499,13.444765659067498,15.5
1768033629.232026,7970279672800,67727,1,1,12874,12.874,13.447410592554585,14.7
1768033629.242026,7970289673295,67728,1,1,13499,13.499,13.449926759101785,15.5
1768033629.2520576,7970299679660,67729,1,1,12874,12.874,13.452321574866525,14.7
1768033629.2620425,7970309673303,67730,1,1,12874,12.874,13.424133984567437,14.7
1768033629.272031,7970319673520,67731,1,1,12874,12.874,13.397303065754233,14.7
1768033629.2820807,7970329673626,67732,1,1,13499,13.499,13.371781010252853,15.5
1768033629.2920434,7970339673621,67733,1,1,13499,13.499,13.347503955747804,15.5
1768033629.3020415,7970349676579,67734,1,1,12874,12.874,13.324404233796916,14.7
1768033629.312032,7970359673407,67735,1,1,13499,13.499,13.332916735734695,15.5
1768033629.3220587,7970369673568,67736,1,1,13499,13.499,13.34101683929021,15.5
1768033629.3320544,7970379677526,67737,1,1,13499,13.499,13.348724742933987,15.5
1768033629.34203,7970389673910,67738,1,1,13499,13.499,13.356051169212902,15.5
1768033629.3521442,7970399677627,67739,1,1,13499,13.499,13.363025393068892,15.5
1768033629.3621812,7970409681733,67740,1,1,13499,13.499,13.36965960828771,15.5
1768033629.3720734,7970419671913,67741,1,1,14124,14.124,13.375961572588345,16.2
1768033629.3820791,7970429672371,67742,1,1,13499,13.499,13.38196249551793,15.5
1768033629.392084,7970439672143,67743,1,1,14124,14.124,13.387670355050798,16.2
1768033629.4020467,7970449672175,67744,1,1,13499,13.499,13.393099982849105,15.5
1768033629.4120584,7970459672818,67745,1,1,13499,13.499,13.398265111494124,15.5
1768033629.4220452,7970469673368,67746,1,1,13499,13.499,13.403178273489523,15.5
1768033629.4320297,7970479672937,67747,1,1,13499,13.499,13.407851357811662,15.5
1768033629.442032,7970489673228,67748,1,1,14124,14.124,13.412296855700333,16.2
1768033629.4520311,7970499673631,67749,1,1,13499,13.499,13.416525584131541,15.5
1768033629.4620607,7970509673885,67750,1,1,14124,14.124,13.420548008491506,16.2
1768033629.4720595,7970519674046,67751,1,1,13499,13.499,13.42437421734022,15.5
1768033629.4821134,7970529676189,67752,1,1,13499,13.499,13.428014520321113,15.5
1768033629.492088,7970539674110,67753,1,1,13499,13.499,13.431475821106954,15.5
1768033629.5020475,7970549674623,67754,1,1,13499,13.499,13.434769178923952,15.5
1768033629.5120482,7970559674173,67755,1,1,13499,13.499,13.437901615561412,15.5
1768033629.522043,7970569674187,67756,1,1,12249,12.249,13.440881423000858,14.0
1768033629.5320487,7970579674700,67757,1,1,13499,13.499,13.443716041251843,15.5
1768033629.5420437,7970589674510,67758,1,1,13499,13.499,13.446412221777504,15.5
1768033629.5520434,7970599674856,67759,1,1,13499,13.499,13.448977044525432,15.5
1768033629.5620444,7970609674870,67760,1,1,13499,13.499,13.451416696182934,15.5
1768033629.5720458,7970619675420,67761,1,1,12874,12.874,13.453737485766334,14.7
1768033629.5820465,7970629676026,67762,1,1,13499,13.499,13.455945095090614,15.5
1768033629.592068,7970639675780,67763,1,1,12874,12.874,13.458044857206318,14.7
1768033629.6020668,7970649675386,67764,1,1,13499,13.499,13.460042186343204,15.5
1768033629.612048,7970659675622,67765,1,1,14124,14.124,13.46194222506364,16.2
1768033629.622049,7970669675209,67766,1,1,13499,13.499,13.463749481281763,15.5
1768033629.632047,7970679675667,67767,1,1,12874,12.874,13.46546874615296,14.7
1768033629.642045,7970689675643,67768,1,1,13499,13.499,13.467104080872781,15.5
1768033629.6520445,7970699675545,67769,1,1,13499,13.499,13.468659648337926,15.5
1768033629.6620452,7970709675985,67770,1,1,13499,13.499,13.470139428242664,15.5
1768033629.6720488,7970719676313,67771,1,1,14124,14.124,13.471547019959432,16.2
1768033629.6820443,7970729676363,67772,1,1,12874,12.874,13.472885924123702,14.7
1768033629.692085,7970739679599,67773,1,1,13499,13.499,13.474159924548493,15.5
1768033629.7020721,7970749676593,67774,1,1,14124,14.124,13.475371034183022,16.2
1768033629.7120447,7970759676533,67775,1,1,14124,14.124,13.507004857032907,16.2
1768033629.7220495,7970769676768,67776,1,1,13499,13.499,13.506614446601644,15.5
1768033629.7320473,7970779676782,67777,1,1,13499,13.499,13.506243085151757,15.5
1768033629.742048,7970789676813,67778,1,1,13499,13.499,13.50588983465259,15.5
1768033629.7520504,7970799684382,67779,1,1,13499,13.499,13.505553565427112,15.5
1768033629.7620635,7970809677192,67780,1,1,13499,13.499,13.505234168383984,15.5
1768033629.7720344,7970819677057,67781,1,1,12874,12.874,13.504930128406972,14.7
1768033629.7820375,7970829677978,67782,1,1,13499,13.499,13.504640886655437,15.5
1768033629.792032,7970839677584,67783,1,1,14124,14.124,13.504365787937518,16.2
1768033629.8020864,7970849678542,67784,1,1,13499,13.499,13.50410407092324,15.5
1768033629.8120446,7970859677703,67785,1,1,13499,13.499,13.50385516281429,15.5
1768033629.822056,7970869677494,67786,1,1,13499,13.499,13.503618378555897,15.5
1768033629.8320463,7970879677711,67787,1,1,13499,13.499,13.5033931328093,15.5
1768033629.842031,7970889677391,67788,1,1,12874,12.874,13.503178883880155,14.7
1768033629.8520484,7970899677127,67789,1,1,13499,13.499,13.50297508255548,15.5
1768033629.8620474,7970909677603,67790,1,1,13499,13.499,13.50278120649231,15.5
1768033629.8720438,7970919677950,67791,1,1,12874,12.874,13.502596788635165,14.7
1768033629.8820465,7970929677815,67792,1,1,12874,12.874,13.4719401651059,14.7
